source;target;value
5101;14210;446
5101;14211;462
5101;14214;436
5101;14215;444
5101;14217;431
5101;14224;438
5101;14229;414
5101;14231;448
5101;14244;425
5101;14246;418
5101;14254;438
5101;14255;426
5101;14256;433
5101;14257;416
5101;14258;420
5101;14263;426
5101;14264;425
5101;14265;457
5101;14267;435
5101;14269;413
5101;14274;426
5101;14275;427
5101;14277;446
5101;14278;432
5101;14279;446
5101;14280;406
5101;14282;420
5101;14284;418
5101;14285;402
5101;14289;418
5101;14400;417
5101;14401;442
5101;14406;406
5101;14407;424
5101;14409;401
5101;14423;417
5101;14430;441
5101;14431;422
5101;14433;403
5101;14435;446
5101;14440;428
5101;14443;412
5101;14444;404
5101;14445;432
5101;14458;449
5101;14463;448
5495;10626;404
5495;10719;410
5495;10767;410
5495;11034;427
5495;11066;403
5495;13002;418
5495;13036;422
5495;14003;403
5495;14013;425
5495;14018;410
5495;14021;405
5495;14031;405
5495;14040;425
5495;14052;413
5495;14057;423
5495;14069;415
5495;14071;427
5495;14226;429
5495;14227;412
5495;14243;402
5495;14245;421
5495;14259;407
5495;14273;417
5495;14276;417
5495;14411;406
5495;14415;410
5495;14438;410
5495;14449;426
5495;14456;418
5924;6845;419
5924;8866;404
5924;10075;409
5924;10550;430
5924;10567;403
5924;10716;423
5924;10783;440
5924;10788;401
5924;11005;413
5924;11023;447
5924;11035;402
5924;11037;401
5924;12011;421
5924;12014;403
5924;13036;401
5924;14005;419
5924;14016;414
5924;14026;414
5924;14219;435
5924;14234;452
5924;14237;406
5924;14251;412
5924;14259;401
5924;14291;413
5924;14404;406
5924;14418;402
5924;14424;401
5924;14427;439
5924;14429;405
5924;14462;408
5924;14464;411
6240;6584;418
6240;6661;446
6240;6845;429
6240;6936;442
6240;7333;403
6240;7343;470
6240;7824;443
6240;8010;441
6240;8564;421
6240;8672;427
6240;8866;404
6240;9551;439
6240;10391;451
6240;10421;428
6240;10463;462
6240;10511;413
6240;10540;442
6240;10551;401
6240;10566;416
6240;10577;427
6240;10582;429
6240;10583;438
6240;10599;419
6240;10602;439
6240;10609;417
6240;10613;459
6240;10620;439
6240;10621;437
6240;10703;441
6240;10705;443
6240;10723;432
6240;10726;462
6240;10732;424
6240;10733;447
6240;10756;479
6240;10760;421
6240;10768;419
6240;11014;414
6240;11054;431
6240;11067;416
6240;12000;433
6240;12004;472
6240;12008;404
6240;12027;447
6240;12030;437
6240;12035;413
6240;12036;426
6240;12044;432
6240;13010;482
6240;13013;428
6240;13024;403
6240;13026;415
6240;13035;407
6240;13040;418
6240;14008;407
6240;14027;433
6240;14029;433
6240;14039;429
6240;14051;404
6240;14055;435
6240;14058;404
6240;14067;408
6240;14203;427
6240;14204;425
6240;14206;451
6240;14207;411
6240;14209;438
6240;14210;416
6240;14211;418
6240;14214;434
6240;14215;445
6240;14217;423
6240;14224;446
6240;14229;440
6240;14231;445
6240;14244;407
6240;14246;427
6240;14248;413
6240;14250;421
6240;14255;418
6240;14256;411
6240;14257;436
6240;14264;443
6240;14265;468
6240;14266;411
6240;14267;423
6240;14274;407
6240;14275;429
6240;14277;442
6240;14278;421
6240;14279;433
6240;14280;401
6240;14282;410
6240;14284;427
6240;14285;456
6240;14289;420
6240;14400;449
6240;14401;440
6240;14402;405
6240;14406;412
6240;14407;401
6240;14413;431
6240;14421;415
6240;14423;429
6240;14430;433
6240;14433;423
6240;14434;411
6240;14435;436
6240;14440;443
6240;14442;401
6240;14443;430
6240;14444;407
6240;14445;440
6240;14457;407
6240;14458;449
6240;14460;406
6240;14463;418
6240;14465;419
6240;13032;415
6584;6845;428
6584;7343;436
6584;8564;421
6584;8866;406
6584;9017;409
6584;10463;415
6584;10540;411
6584;10613;415
6584;10620;405
6584;10703;410
6584;10716;409
6584;10733;433
6584;10756;405
6584;10783;410
6584;11023;407
6584;11067;406
6584;12000;406
6584;12004;419
6584;12027;412
6584;12035;402
6584;13010;422
6584;14005;402
6584;14058;403
6584;14206;416
6584;14215;403
6584;14231;401
6584;14265;411
6584;14284;402
6584;14285;418
6584;14400;403
6584;14421;406
6584;14448;401
6584;14465;417
6661;6845;406
6661;6936;424
6661;7343;444
6661;7824;432
6661;8010;432
6661;8672;414
6661;9551;403
6661;10391;420
6661;10421;430
6661;10463;426
6661;10540;435
6661;10566;401
6661;10577;402
6661;10582;401
6661;10583;434
6661;10602;404
6661;10609;408
6661;10613;428
6661;10620;416
6661;10621;412
6661;10703;422
6661;10705;437
6661;10723;407
6661;10726;438
6661;10732;417
6661;10733;415
6661;10756;450
6661;10760;425
